Observation Time,X,Y,Z
2025-2-24 1:55:0,-10246330.287509594,7806545.922262449,-3799470.4507300816
2025-2-24 1:56:0,-15088296.795632694,11849946.367834274,-5317482.628850538
2025-2-24 1:56:0,-17511250.659366135,13873293.29267658,-6077106.34258426
2025-2-24 1:57:0,-1199490.2305970518,253237.64242739257,-962765.487976633
2025-2-24 1:57:0,-1199608.4769463865,253385.59450716552,-962788.5181260929
2025-2-24 1:58:0,-1199678.9064622251,253471.32594103392,-962803.2050023898
2025-2-24 1:58:0,-1199706.1097817747,253506.89021105345,-962808.0807176456
2025-2-24 1:59:0,-1199724.2174325315,253528.73680681761,-962811.7056861743
2025-2-24 1:59:0,-1199729.6613107054,253534.56163591918,-962813.1903501377
2025-2-24 2:0:0,-1199730.2984719602,253536.33926577147,-962812.9170051441
2025-2-24 2:0:0,-1199725.9152779905,253533.28668398436,-962811.8174558505
2025-2-24 2:1:0,-1199732.045401129,253539.76314348754,-962813.1781555042
2025-2-24 2:1:0,-1199738.446268591,253546.624944635,-962814.5644775257
2025-2-24 2:2:0,87372610.74881503,-79086737.0471478,19355936.357855238
2025-2-24 2:2:0,87336445.95310351,-79054343.27105908,19347639.629039206
2025-2-24 2:3:0,87282251.88791415,-79005797.5179997,19335208.081977285
2025-2-24 2:3:0,42305476.722352475,-38717036.96163755,9017406.881572165
2025-2-24 2:4:0,19817088.694653954,-18572656.989191107,3858506.2599338666
2025-2-24 2:4:0,8572891.201978173,-8500462.943693213,1279054.6504854336
2025-2-24 2:5:0,2950793.376321283,-3464366.961156897,-10670.662905298173
2025-2-24 2:5:0,139742.43955751974,-946317.7000484986,-655534.2570300922
2025-2-24 2:6:0,-1265780.7492127744,312704.2715396362,-977964.955359064
2025-2-24 2:6:0,-1968543.1202073423,942214.6218127685,-1139180.87797793
2025-2-24 2:7:0,-2319923.995440039,1256972.827981897,-1219788.7257705554
2025-2-24 2:7:0,-2495610.741697821,1414347.9409656005,-1260091.6740356311
2025-2-24 2:8:0,-2583455.3530297605,1493036.0603808837,-1280243.052148424
2025-2-24 2:8:0,-2627376.703588995,1532380.2028636413,-1290318.6055055484
2025-2-24 2:9:0,-2649336.7925591795,1552050.2655353027,-1295356.0298810825
2025-2-24 2:9:0,-2660319.7750153868,1561889.0649013,-1297875.854282938
2025-2-24 2:10:0,-2665812.464830908,1566809.4049891906,-1299136.051691614
2025-2-24 2:10:0,-2668556.999800238,1569266.8969134765,-1299765.6150794849
2025-2-24 2:11:0,-2669927.018621954,1570494.4335956054,-1300079.740925394
2025-2-24 2:11:0,-2670617.021723303,1571111.9415835815,-1300238.2692743167
2025-2-24 2:12:0,-2670959.8136124937,1571419.6456813293,-1300317.1190687045
2025-2-24 2:12:0,-2671126.973715338,1571569.3143901306,-1300355.0322938785
2025-2-24 2:13:0,-2671215.686754736,1571649.2443561035,-1300375.5126071796
2025-2-24 2:13:0,-2671259.2952676145,1571688.0783786254,-1300385.6774087772
2025-2-24 2:14:0,-2671283.279017004,1571708.8105487304,-1300391.4483552799
