#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 04 19 00 999 99.0 99.0  0.44  7.14  3.22  78 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 19 30 999 99.0 99.0  0.44  9.09  2.96  78 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 20 00 999 99.0 99.0  0.46  9.09  3.22  77 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 20 30 999 99.0 99.0  0.50  2.13  2.90 246 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 21 00 999 99.0 99.0  0.49  2.38  2.98 237 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 21 30 999 99.0 99.0  0.43  8.33  3.43  74 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 22 00 999 99.0 99.0  0.40  8.33  3.44  76 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 22 30 999 99.0 99.0  0.40  8.33  3.38  77 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 23 00 999 99.0 99.0  0.40  9.09  3.23  80 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 23 30 999 99.0 99.0  0.35  8.33  3.56  74 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 05 00 00 999 99.0 99.0  0.34  8.33  3.85  76 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 05 00 30 999 99.0 99.0  0.37  7.69  3.58  66 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 05 01 00 999 99.0 99.0  0.43  8.33  3.11  73 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 05 01 30 999 99.0 99.0  0.47  8.33  3.08  63 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 05 02 00 999 99.0 99.0  0.50  3.23  3.05   2 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 05 02 30 999 99.0 99.0  0.57  2.94  3.05 351 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 05 03 00 999 99.0 99.0  0.59  3.23  3.09 351 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 05 03 30 999 99.0 99.0  0.63  3.12  3.08 347 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 05 04 00 999 99.0 99.0  0.68  3.45  3.13 347 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 05 04 30 999 99.0 99.0  0.73  3.70  3.20 354 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 05 05 00 999 99.0 99.0  0.74  3.70  3.29 357 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 05 05 30 999 99.0 99.0  0.78  4.00  3.36 358 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 05 06 00 999 99.0 99.0  0.74  4.17  3.36   0 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 05 06 30 999 99.0 99.0  0.76  4.17  3.28 358 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 05 07 00 999 99.0 99.0  0.77  4.00  3.35 355 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 05 07 30 999 99.0 99.0  0.78  4.17  3.42 355 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 05 08 00 999 99.0 99.0  0.78  4.00  3.38 350 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 05 08 30 999 99.0 99.0  0.73  4.17  3.46 350 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 05 09 00 999 99.0 99.0  0.70  3.33  3.49 348 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 05 09 30 999 99.0 99.0  0.71  3.45  3.53 348 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 05 10 00 999 99.0 99.0  0.66  5.88  3.62  26 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 05 10 30 999 99.0 99.0  0.67  5.56  3.79  38 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 05 11 00 999 99.0 99.0  0.64  3.85  3.85 354 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 05 11 30 999 99.0 99.0  0.66  5.88  3.95  32 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 05 12 00 999 99.0 99.0  0.65  4.35  4.13   4 9999.0 999.0  24.7 999.0 99.0 99.00
